,Entity,Year,CM,HE,Population,LE,GDP,OE,CM_%,HE_%,OE_%
2600,Australia,2000,0.619999981,2155.341553,18991434,79.23414612,38217.44922,20.99713898,0.0619999981,5.63967924858801,1.1841712898522438
2601,Austria,2000,0.55,2708.029541,8069276,78.12683105,46469.85938,17.82221985,0.05500000000000001,5.827496741179077,1.0385892809645205
2602,Belgium,2000,0.580000019,2226.144287,10282046,77.72195435,43024.14063,20.22722816,0.0580000019,5.174174903676629,1.046592163164132
2603,Canada,2000,0.619999981,2429.605713,30588379,79.13658905,37194.39453,16.60520935,0.0619999981,6.532182453031586,1.0846825714498602
2604,Denmark,2000,0.569999981,2327.757813,5341192,76.59268188,48907.01172,15.35643196,0.056999998100000004,4.759558458256995,0.7308983562386605
2605,Finland,2000,0.430000019,1896.237793,5187953,77.46585083,39894.19531,21.62706375,0.0430000019,4.753167166965474,1.027970493343692
2606,Germany,2000,0.54000001,2692.238037,81400883,77.92682648,42928.17969,12.28860092,0.054000001,6.271493588690763,0.770678818837594
2608,Iceland,2000,0.40999999,2667.52124,280439,79.65365601,41530.51563,19.42706871,0.040999998999999995,6.42303905823189,1.2478082111128463
2609,Ireland,2000,0.70999999,1795.642944,3783095,76.53658295,47996.98047,12.11709023,0.07099999900000001,3.741158144567755,0.4533195080242688
2610,Israel,2000,0.69000001,1793.571777,5945949,78.95365906,29950.31836,29.48983002,0.06900000099999999,5.988489856573264,1.7659954794683974
2611,Japan,2000,0.45,1908.959961,127524168,81.07609558,36323.09375,15.91636372,0.045,5.255499363954922,0.8364843940693519
2613,Luxembourg,2000,0.45,3287.651611,436106,77.87316895,99301.52344,14.25088024,0.045,3.3107766095718216,0.4718148096440127
2614,Malta,2000,0.780000019,1211.157349,393649,78.34877777,27482.88867,26.37362862,0.0780000019,4.406950679540776,1.1622728056886509
2615,Netherlands,2000,0.619999981,2466.850098,15926188,77.98780823,47422.20313,11.03255558,0.0619999981,5.201888430272935,0.5739012322794511
2616,New Zealand,2000,0.74000001,1606.595337,3858992,78.63658905,32837.09766,15.36159515,0.074000001,4.892622830540377,0.7515849114440832
2617,Norway,2000,0.49000001,2857.773438,4499375,78.63414764,57127.38281,17.94157219,0.049000000999999994,5.002458186303879,0.8975196467702752
2618,Singapore,2000,0.39000001,1465.142578,4028872,77.95121765,56106.73047,48.17884445,0.039000001,2.6113490587076797,1.2581178010413123
2619,Slovenia,2000,0.55,1406.265137,1987710,75.4121933,26276.94531,13.2732687,0.05500000000000001,5.3517070588293585,0.7103464579552878
2620,South Korea,2000,0.75,716.9293823,47379237,75.90975952,22963.63867,43.63845444,0.075,3.1220199577369505,1.3624012568647463
2621,Sweden,2000,0.40999999,2173.662598,8881642,79.64390564,40625.36328,14.46247673,0.040999998999999995,5.350506241676124,0.773815720139607
2622,Switzerland,2000,0.55999999,3362.197998,7143764,79.68048859,59389.42578,31.04061699,0.055999999,5.661273793848088,1.757294315103627
2623,United Kingdom,2000,0.65,1904.535645,58923305,77.74146271,38915.19922,17.71292305,0.065,4.894066285599758,0.8668821951842783
2624,United States,2000,0.839999962,4543.436035,281710914,76.63658905,50124.89063,15.11238384,0.0839999962,9.064231318802578,1.36982142904294
2625,World,2000,7.580000305,598.5001221,6143776621,67.54895782,11097.31543,19.2780571,0.7580000305000001,5.393197353677456,1.039703665357629
2626,Australia,2001,0.60999999,2279.328369,19194676,79.63414764,38474.15234,20.43909645,0.060999999,5.924310817447888,1.2108756019759574
2627,Austria,2001,0.54000001,2761.801025,8097755,78.5756073,46878.91797,18.46295738,0.054000001,5.891349767858134,1.087717396746376
2628,Belgium,2001,0.55999999,2352.505615,10319026,77.97316742,43347.89063,19.58826447,0.055999999,5.4270359660174305,1.0630621579055137
2629,Canada,2001,0.619999981,2617.796631,30880072,79.3390274,37309.64844,15.92599487,0.0619999981,7.016406587721791,1.1174325532189144
2630,Denmark,2001,0.55999999,2492.487305,5358059,76.79268646,49133.22266,15.11594772,0.055999999,5.072916389482359,0.7668193893134648
2631,Finland,2001,0.419999981,2011.47583,5200475,77.96585083,40842.33984,21.2191143,0.0419999981,4.924976967235382,1.0450364919263493
2632,Germany,2001,0.519999981,2818.601074,81453894,78.32926941,43576.63672,12.28204536,0.0519999981,6.468147351781214,0.7944207916974074
2634,Iceland,2001,0.39000001,2822.078613,282910,80.69024658,42626.92188,19.47368622,0.039000001,6.620413786724963,1.2892386072924396
2635,Ireland,2001,0.69000001,2100.944092,3842253,77.13414764,49744.625,10.64706802,0.06900000099999999,4.223459503413686,0.4496746061256094
2636,Israel,2001,0.65999999,1913.08313,6060679,79.40731812,29282.52539,30.33019829,0.065999999,6.533190373851154,1.9815295950522471
